id,type,text1,text2,text3,text4,notes,reviewed
#Fighters,,,,,,,
eis_broadsword,SHIP,This refit of the Broadsword comes equipped with an upgraded armor package and twin Dual Light Machine Guns. It has an upscaled flux pool allowing for better constant fire at the cost of increased maintenance requirements.,,,,,
eis_gladius,SHIP,"Fast, deadly, and well-armored, the Gladius excels at improving both the firepower and survivability of interceptor groups. The XIV variant of the Gladius comes with an upgraded armor package and mounts a full-size Railgun in place of the IR Pulse Laser, significantly improving its lethality against heavily shielded opponents.",,,,,
eis_xyphos,SHIP,A testbed for a close support fighter built around the Xyphos frame. This XIV variant sports a downscaled Devastator Cannon and excels at point-defense and anti-fighter roles. More daring commanders employ these fighters on close-combat vessels to make the most of the powerful weapons these fighters possess.,,,,,
eis_warthog,SHIP,"The XIV variant of the Warthog is an extreme conversion, with a compact Arbalest cannon installed in place of its mortars. The fighter now serves as a long-range shield breaker instead of a short-range assault fighter.",,,,,
eis_kopis,SHIP,"Despite its unorthodox appearance, the so-called 'chaingun with engines,' Kopis fighter was originally designed for the Fourteenth Battlegroup as a different take on the light bomber role. The Kopis is a modification of early prototypes of the Claw fighter and is capable of destroying armored enemy vessels despite having a much lower logistical cost in comparison to similar bombers.",,,,,
eis_khopesh,SHIP,"More a support fighter than a bomber due to its bulky and unwieldy nature, the Fourteenth Battlegroup Khopesh carries pods of cheaper, reloadable Annihilator missiles. As a result, it can lay down withering rocket barrages on its targets for extended periods from the safety of friendly battle lines.",,,,,
eis_gunshield,SHIP,"Designed to counteract the lack of point defense on certain Iron Shell vessels, Gunshield drones offer improved defensive capabilities over the more maintenance-intensive Gunblade. These drones are piloted remotely by Delta level AI, implemented in strict compliance with Hegemony regulations.",,,,,
eis_gunblade,SHIP,"Developed to enhance the capabilities of Iron Shell's frigate designs, Gunblade drones come equipped with Light Assault Gun and Ion Cannons, as well as PD functionality.",,,,,
eis_thunder,SHIP,"Extremely fast and well-armed, the Thunder enables a carrier to rapidly inflict damage to enemies within a defined kill zone. This Fourteenth Battlegroup refit comes with an upgraded armor package at the cost of a lower operational range, and trades the Swarmer SRM Launcher for a Light Annihilator Rocket Pod, allowing it to function as a light bomber in a pinch.",,,,,
eis_thunder_mk2,SHIP,"Extremely fast and well-armed, the Thunder's strength lies in enabling a carrier to rapidly inflict damage to enemies within a defined killzone. The Fourteenth's Mark II upgrade package opts to replace the human pilot entirely with a Delta level AI. It also comes equipped with upgraded armor at the expense of operational range, and replaces the missile rack with a second Ion Cannon.",,,,,
eis_amity,SHIP,"Equipped with a large payload of Harpoons and Breaches for a hit-and-run bombing pattern, the Amity were once known for its high survival and long endurance before resupplying. Its demanding logistical profile as a bomber drone made it obsolete out as other conventional bombers carrying heavier payload became much cheaper to produce.",,,,,
#Fighters with codex entries,,,,,,,
eis_peacekeeper,SHIP,"The Peacekeeper is an advanced space superiority interceptor design in use by Iron Shell. Armed with a downscaled Devastator Cannon as well as a pair of anti-fighter missile launchers, this interceptor excels against enemy fighters. As their Delta-level AI processing cores are fine-tuned for targeting and hunting enemy fighters, Peacekeepers are less effective against conventional warships.
 
 The Peacekeeper interceptor is an infrequent sight in Iron Shell fleets for a multitude of reasons. They require that a single highly-skilled pilot directly interfaces with the fighter's Delta-level AI, something that very few human pilots are willing to do. Furthermore, long-term use of the AI synchronization system has been shown to cause mental instability in some pilots who, having grown so accustomed to their link with the AI subprocessor, struggle to make sense of reality out of the cockpit. Because of these problems, mandatory weekly flight hour limitations are required to allow Peacekeeper pilots time to reacclimate. Luddic pilots are not allowed to command these fighters to prevent political issues from arising with the Luddic Church. Because of these considerations, the duty of piloting the Peacekeeper is offered to only the best pilots employed by the Hegemony. Those few pilots brave (or foolish) enough to pilot the fighter are a rare commodity indeed.	",,,,,
eis_dagger,SHIP,"A precursor to what is now known as the Dagger torpedo bomber, the Fourteenth Battlegroup variant of the Dagger strike craft utilizes a modified Hammer torpedo that has a larger, more unstable payload, as well as a point-defense screen of light Annihilator rockets that are launched as the Hammer approaches its target. As a result, the Dagger (XIV) has a higher damage potential than conventional Dagger bombers but relies on close-in tactics to accurately strike its target.

An experimental predecessor to the Atropos-wielding Dagger bomber, the Dagger (XIV) was beset by many technical issues that ultimately resulted in the bomber being unused until its more successful high-tech variant was perfected during the Expansion era. Their Hammer torpedos tended to drift off course from their intended target, and initial prototypes of the Annihilator PD screen proved to be unreliable. Although few forge templates were ever made for the Dagger prototype, one eventually found its way into the hands of an enterprising Iron Shell engineer, who promptly set to work trying to fix the defective bomber. After much trial and error, the engineer managed to correct the numerous problems plaguing the prototype; at long last, the experimental bomber was ready for use by the Hegemony. Quickly adopted by Iron Shell carrier battlegroup commanders, the incredible power of the bomber's Hammer torpedo perfectly supplemented the powerful bomber payloads typical to Hegemony fleets.",,,,,
#Hegemony Aux,,,,,,,
eis_mining_drone,SHIP,Hegemony miners facing piracy and other threats to their commercial operations inspired a Galatian graduate student from the Department of AI Defense Studies to develop a sturdier mining drone that could operate independently in defense of its host carrier. Its intelligence level has been questioned by the Luddic faith and addressed by its stripped programming to even be compatible with delta-level AI.,,,,,
eis_talon,SHIP,"Before the Defense of Chicomoztoc, this craft was developed in an attempt to mitigate the heavy casualties associated with the regular Talon strike craft. To preserve their pilots (primarily conscripted civilians and prospective officer candidates), the Hegemony Navy produced a Talon derivative equipped with improved armor at the cost of wing size. No longer being confined within what the conscripts referred to as ""flying coffins,"" morale within the non-commissioned strike craft corps improved a great deal after the introduction of the new armored Talon.",,,,,
#Pirates,,,,,,,
eis_piranha,SHIP,"""Every day I'm baffled by the technology of the Domain, the microforge says it's creating an engine, cabin, electronics, yet the space is empty, only when it reaches the payload do I see the marvel of this beauty made manifest.""",,,,,
,,,,,,,
#Ships,,,,,,,
eis_vanguard_xiv,SHIP,"An ancient and tough heavy frigate featuring robust construction, a combat burn drive, and no modern shields. Instead, the Vanguard is equipped with an integrated Damper Field of archaic design but tuned to modern standards. This allows the Vanguard to allocate 100% of flux buildup to weapon systems, leaving defense to its heavy armor enhanced by the obscure physics of resonant field-dampening.

This design is old enough to be contemporary with early models of the Onslaught battleship, though unlike that illustrious pillar of the Domain Navy the Vanguard was retired from service long before the collapse of the Gate network. In the post-Collapse chaos it was a chance discovery by an enterprising arms dealer that saw relatively complete schematics of the Vanguard-class heavy frigate lifted from an overlooked museum exhibit. The atavistic and aggressive design opens an unexpected niche for the Vanguard in modern fleets - with the added advantage that all essential components have been declassified for ages, and are of simple make; even repair of catastrophic damage is relatively straightforward.",,,,,
eis_audacious,SHIP,"The Audacious-class destroyer was designed in tandem with the Vengeance-class as a companion carrier and nimble escort vessel. Lacking the space for the massive reactor core and cooling systems of the Vengeance, the Audacious is able to synchronize its systems with the energy projectors of the larger vessel. This pairing allows for long-range power delivery, as well as the offloading of navigation and other upkeep subroutines to the Vengeance. While maintaining this link, the Audacious enjoys a much higher combat effectiveness than other vessels of its size class.",,,,,
eis_flagellator,SHIP,"Backed by a fearsome array of weaponry, the Relentless-class destroyer is more than capable of facing whatever threats the enemies of the Hegemony can throw at it.

Built for speed, the Relentless is a dedicated hunter-killer designed to chase down and eliminate fast targets.",,,,,
eis_vengeance,SHIP,"Publicly designed with a simple purpose, the first ships of the Vengeance-class were deployed in mop-up operations against rogue Domain Explorarium drones. The Vengeance is equipped with an unusually advanced suite of energy projection and EWAR subsystems built around an experimental Vengeance-pattern reactor core. These systems, known collectively as the 'Vengeance Core', allow the ship to create deflective blast waves, capable of overriding missile targeting systems. This combined with a heavy main armament, fighter complement, and drone control relays made the Vengeance an effective (yet expensive) counter to the missile-heavy fleets of rare Explorarium forces. It is also, quite obviously, highly effective against enemies of the Hegemony employing the missile heavy ""cruiser doctrine"".",,,,,
eis_renown,SHIP,"An agile and aggressive cruiser, the Renown is able to make precise and devastating attacks in quick bursts, though its endurance is limited in a stand-up fight and it can be difficult to refit to take full advantage of its potential armament.

Designed with sleek lines and an aggressive profile, the Renown was based on a pre-Collapse prototype never actually used by the XIV Battlegroup. Its development was mired in industrial politics as part of the Material Reclamation Initiative, eventually leading to a ship that fully satisfied nobody and is sometimes accused by engineers of still being too much of a prototype for active service, but it is functional enough that few captains are dissatisfied with its performance. Having overseen its procurement, Iron Shell officers often find the cruiser matches their aesthetic sensibilities, and are known for making good use of Renowns on the battlefield.",,,,,
eis_indomitable,SHIP,"The Indomitable-class cruiser was designed to be a more agile, offense-oriented companion to the Dominator. While it may lack the former's staying power, it can still take quite a beating with careful use of its Rampage Drive, a combination of a dampener field and the brief activation of a burn drive.",,,,,
eis_mora,SHIP,"Before their retirement from service in the Domain Navy, Mora-class carriers were extensively used by the Fourteenth Battlegroup. While many of these ships had layouts and configurations similar to the contemporary, remilitarized Mora, a select few received upgrades to match the fleet doctrine of the Fourteenth Battlegroup, utilizing a heavier ballistic complement to outlast the Battlegroup's enemies. Despite the mass decommissioning of the Domain's stock of Mora-class cruisers in favor of nimbler carriers like the Heron, the Mora (XIV) continued to see usage within the Fourteenth Battlegroup, never quite leaving service despite several shifts in fleet doctrine.",,,,,
eis_eradicator,SHIP,"Back in the long cycles of the Domain, an embarrassing demonstration of the ship in the core sector allowed a discreet transfer of these fast cruisers over to the Fourteenth Battlegroup. The resilient design of the Eradicator was improved by the engineers of the Battlegroup to feature a missile microforge allowing its production to deliver a decisive blow to its enemies.",,,,,
eis_endeavor,SHIP,"Proponents of newer schools of thought in the Domain's 'decisive battle' doctrine criticized the Legion for being too specialized and inflexible in its role. After years of heated debate, these criticisms led to the commissioning of the Endeavor class of battlecarriers. Derived from an older prototype version of the Legion, the Endeavor features significantly increased baseline engine performance, a Jump Thruster system for versatile mobility, and a compact missile microforge. As a result, the Endeavor is much more suited to extended frontline engagements than its lumbering counterpart, but this comes at the cost of the Legion's armor plating and fighter bay capacity.",,,,,
eis_tyrant,SHIP,"Despite its abandonment by the Fourteenth Battlegroup prior to the Collapse, blueprints of the Tyrant-class battlecruiser were ""acquired"" by House Celeste in the aftermath of the first AI war, looking to use it as a tool to maintain their position in internal politics. Proving to be the ideal testbed for their R&D division, the design was originally retrofitted with several experimental technologies, including the newly dubbed ""Aquila Reactor Protocol"" and a bold ""Fluxthrower"" hybrid weapon system. At some point the Tyrant was considered to replace the Onslaught as the Hegemony's primary ship of the line, but the high maintenance of its delicate technology proved to be too much for broader adoption. Despite its flaws, the Tyrant became a mainstay in the Hegemony's special forces through virtue of its enhanced mobility, fighter complement, and flexible weapon complement. Over time, even this role stressed material and maintenance budgets, resulting in a more conservative variant lacking the once iconic reactor and flux augmentations. While House Celeste internally protested, this ""low-spec"" variant proved its worth on the battlefields of the second AI war, breaking through enemy lines and disrupting formations, leading its allies to victory.",,,,,
eis_dauntless,SHIP,"Battle records of the Dauntless-class dreadnought did not surface until well after the closure of the second AI war. While other Capital-class vessels were publicly adored and used as centerpieces of victory parades, examples of the Dauntless would only be rarely sighted in friendly space. Hegemony crews largely regard this ship as a myth, just a misclassified visual identification of the Vengeance-class. Those who have seen an allied Dauntless in battle would find this claim laughable, as the scale of destruction left in its wake speaks for itself. The vessel's monstrous effectiveness in combat is powered by a similar ""Vengeance Core"" subsystem suite used by its smaller cousins. Due to the scale of the hull, few compromises had to be made to fit the heavy reactor core and cooling systems, allowing for an extensive suite of heavy thrusters and internal ordnance allocations.

Commonly cited as a black hole in the Hegemony's military budget, these criticisms are typically quick to be shut down by those with operational authority. Vague comments about lack of evidence and security of Hegemony systems send the message: ""There is no Dauntless-class in Hegemony space, and there will be bigger problems to worry about when there are"".",,,,,
eis_illustrious,SHIP,"The existing examples of the massive Illustrious-class battlestar in service of Battlegroup XIV are an oddity among Hegemony special forces. No ships of this class have production records within the sector's many corporate shipmakers, and none were recorded among the legendary vessels which crossed the Orion-Persean abyss into the sector, which formed the foundation of the modern-day Hegemony. The vessels themselves are massive starships equipped with state-of-the-art command and control suites, sensor arrays, and advanced subsystems even by Domain-era standards. Today they serve as rare flagships for the admirals of the XIVth Battlegroup's armada, with oddly fierce competition, considering they rarely are deployed outside of system defense fleets.",,,,,
,,,,,,,
#Ships with codex entries,,,,,,,
eis_valorous,SHIP,"The Valorous is an advanced frigate design that, while expensive to manufacture and deploy, has unrivaled effectiveness against most vessels. The Valorous is incredibly fast and powerful for a ship of its size due to its Zandatsu mobility system and twin medium hardpoints. The only limiting factors on this frigate's combat effectiveness are its relative fragility and the skills of its pilot.

The Valorous owes its daunting combat ability to a suite of highly specialized systems, the foremost of which are referred to as the ""Zandatsu Subsystems"". Iron Shell officials have publicly stated that the ship utilizes an array of Delta-level AI cores; how their engineers were able to work past the lack of computational power apparent to Delta AIs and other problems inherent to multi-core AI clusters remains to be seen.

The creation of the Valorous is shrouded in mystery. For such an advanced vessel, there is precious little information available regarding its design. What is known seems to suggest that the Valorous is a pre-Collapse prototype that was never properly developed due to an abundance of issues that were only recently solved by Iron Shell's research and development division. Earlier attempts by Hegemony engineers resulted in two individuals being incarcerated on Yami for attempting to utilize a Gamma level AI core in the ship. Unfortunately, these attempts failed, as even the computational power of a Gamma-level AI proved to be insufficient in dealing with the complexities of the Zandatsu systems.

Few Valorous frigates exist at any given moment, and there are even fewer pilots skilled enough to unleash their full potential. Pilots of these ships are typically esteemed Peacekeeper interceptor aces familiar with the neural interface required to pilot the vessel. The pilot handles piloting and three-dimensional maneuvering, while the AI handles mundane things such as shield and targeting solution optimizations, managing the vessel's two Gunblade drones, multiple minor subsystems, and the use of the Zandatsu subsystems.",,,,,
eis_courageous,SHIP,"A fast, aggressive frigate that excels at dueling ships of similar size, the Courageous is entirely forward-focused and relies on its agility and drones for point defense. Its powerful thrusters and versatile Gunblade drones are invaluable in combat, though it is more expensive to deploy and service than typical frigates.

Built as a response to widespread adoption of the Centurion by rebel fleets, Courageous-class frigates use their speed to set the terms of engagement and have the weapons complement needed to overpower most other frigates. The Hegemony prizes its integrated Gunblade drones, which serve a similar role to the infamous Terminators without their potentially dangerous AI guidance systems.",,,,,
eis_champion,SHIP,"The first time a Hegemony officer laid eyes on a Champion was during the First AI War. The heavy cruiser was a formidable opponent, and the sudden introduction of a new ship into the Persean Sector was cause for alarm. While the cruiser itself was nothing out of the ordinary, the ability of the League to develop new warships prompted immediate investigation. Reading into the history of the vessel, Hegemony officials were convinced that they had been cheated. The Champion, in their eyes, was meant for the Fourteenth Battlegroup, and its plans were rightfully theirs.

A sense of wounded pride developed in the officers of the Hegemony, growing into a wave of revanchism that reached its peak when several of the cruisers were recovered after a battle with the Persean League. House Celeste, out of favor with Hegemony leadership after the devastation of the First AI War and looking for a way back into the High Hegemon's good graces, acquired these ships and overhauled them to match Hegemony doctrine. The design of the Champion was upgraded with salvaged Fourteenth Battlegroup materiel and modified to better fit Hegemony naval doctrine. In particular, the ship's turrets and subsystems support a wider array of weaponry while the built-in Annihilation Protocol allows the Champion (XIV) to overcharge its weapons systems beyond their original capabilities. Bedecked in Fourteenth Battlegroup livery, the retrofitted Champion shows that the Hegemony's best days are not behind it.
 
The Champion-class heavy cruiser is a versatile warship featuring a range of powerful weapons; the crowning element is a heavy hybrid turret mounting, rare among midline ships. This offensive array is backed by a robust power grid capable of supercharging the ship's weapon loadout, increasing damage output to devastating levels. A heavy missile hardpoint complements the loadout by enabling the Champion to unleash crippling strikes without taxing flux levels. The Champion is a solid and capable contender, able to face capital ships on the battle-line.",,,,,
eis_skyrend,SHIP,"A recent addition to Iron Shell and Hegemony fleets, the Skysplitter (XIV) represents the perfection of House Celeste's Annihilation Protocol system and is a fast, powerful frontline combatant. Paired with a proper escort, its massive frontal firepower can overpower enemy capital craft with ease. The relatively uncommon Skysplitter (XIV) is now the scalpel to the Onslaught's hammer, finding a home in special forces fleets throughout the Hegemony's sphere of influence.

Flush with credits after the success of their Champion (XIV) refit, House Celeste engineers sought a larger midline hull to convert to Fourteenth Battlegroup spec for procurement by the Hegemony Navy. They settled on the Skysplitter, a relatively uncommon pocket battleship that sacrifices armor and hull integrity for extreme frontal firepower and flux dissipation. After improving the ship's armor and ballistic loadout, House Celeste's engineers determined that the oversized flux capacitors on the ship could be used to power a perfected version of the Champion (XIV)'s Annihilation Protocol. Despite several lab accidents, the researchers in charge of the project succeeded in producing what many consider to be the most overtuned vessel in the Fourteenth Battlegroup's arsenal. 

While the advanced materials used in its construction prevent the Skysplitter (XIV) from being fielded widely in Hegemony fleets, Iron Shell's nimbler navy uses them frequently and to great effect.",,,,,
,,,,,,,
#Systems,,,,,,,
eis_drone_strike,SHIP_SYSTEM,"Ignites a Gunblade drone with a brief energy transfer. The drone tracks a nearby target like a missile, dealing massive area damage on impact.",Offensive,"Supercharges one of the Gunblade drones and sends it after a target. The drone deals 1200 Energy damage and 600 EMP damage on impact, and charging it generates 600 flux.",1200 Energy | 600 EMP,,
eis_damned_vengeance,SHIP_SYSTEM,"Projects a large concussive wave that reflects missiles. Successful reflection results in improved shield and engine efficiency. Failure causes the ship's systems to overload, increasing incoming shield damage and weakening its engines.",Defensive,"Projects a large concussive wave that reflects missiles. Successful reflection results in improved shield and engine efficiency. Failure causes the ship's systems to overload, increasing incoming shield damage and weakening its engines.",,,
eis_taste_vengeance,SHIP_SYSTEM,Projects a large concussive wave that reflects missiles.,Defensive,Projects a large concussive wave that reflects missiles.,,,
eis_jump,SHIP_SYSTEM,Launches the ship in a chosen direction in an explosive burst of speed. Less effective for reverse movement.,Movement,Launches the ship in a chosen direction in a burst of speed. Less effective for reverse movement.,,,
eis_jump_small,SHIP_SYSTEM,Launches the ship in a chosen direction in an explosive burst of speed. Less effective for reverse movement.,Movement,Launches the ship in a chosen direction in a burst of speed. Less effective for reverse movement.,,,
eis_highballisticfocus,SHIP_SYSTEM,"Supercharges reactor output via additional capacitors, increasing energy damage by 40% and ballistic rate of fire by 80% for 3 seconds with a proportional flux reduction. Additionally enhances the ship's engines for 6 seconds, increasing top speed by 20 with a large boost to maneuverability.",Offensive,"Supercharges reactor output via additional capacitors, increasing energy damage by 40% and ballistic rate of fire by 80% for 3 seconds with a proportional flux reduction. Additionally enhances the ship's engines for 6 seconds, increasing top speed by 20 with a large boost to maneuverability.",3 | 6,,
eis_microburn,SHIP_SYSTEM,"Provides a brief engine boost, propelling the ship forward at an extreme velocity.",Movement,"Provides a brief engine boost, propelling the ship forward at an extreme velocity.",,,
eis_microburn_dauntless,SHIP_SYSTEM,"Provides a brief engine boost, propelling the ship forward at an extreme velocity. The volume of propellant needed to accelerate a hull of this scale limits frequency of use.",Movement,"Provides a brief engine boost, propelling the ship forward at an extreme velocity. The volume of propellant needed to accelerate a hull of this scale limits frequency of use.",,,
eis_rampagedrive,SHIP_SYSTEM,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. Reduced damage taken and halved weapon rate of fire while active. A successful ram will deal bonus High Explosive Damage on impact.",Movement,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. A successful ram will deal a bonus 1500 High Explosive damage on impact. -66% damage taken and halved weapon rate of fire while active.",1500 High Explosive | -66%,,
eis_rampagedrive_indomitable,SHIP_SYSTEM,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. Reduced damage taken and halved weapon rate of fire while active. A successful ram will deal bonus High Explosive Damage on impact.",Movement,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. A successful ram will deal a bonus 2500 High Explosive damage on impact. -50% damage taken and halved weapon rate of fire while active.",2500 High Explosive | -50%,,
eis_rampagedrive2,SHIP_SYSTEM,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. Reduced damage taken and halved weapon rate of fire while active. A successful ram will deal bonus High Explosive Damage on impact.",Movement,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. A successful ram will deal a bonus 1000 High Explosive damage on impact. -66% damage taken and halved weapon rate of fire while active.",1000 High Explosive | -66%,,
eis_zandatsu,SHIP_SYSTEM,"Unleashes a concussive blast capable of reflecting missiles, then lunges in a direction, avoiding weapons fire and ships. If a missile was successfully reflected, gain additional ballistic rate of fire, ballistic weapon flux cost reduction, and shield efficiency.",Movement,"Unleashes a concussive blast capable of reflecting missiles, then lunges in a direction, avoiding weapons fire and ships. If a missile was successfully reflected, gain additional ballistic rate of fire, ballistic weapon flux cost reduction, and shield efficiency.",,,
eis_secondwind,SHIP_SYSTEM,"When overloaded, vent all flux toward the autoforge, instantly replenishing missile ammunition.",Special,"When overloaded, vent all flux toward the autoforge, instantly replenishing missile ammunition.",,,
eis_damper,SHIP_SYSTEM,"Projects damper fields around the ship and its fighters, reducing incoming damage by 40%.",Special,"Projects damper fields around the ship and its fighters, reducing incoming damage by 40%.",40%,,
,,,,,,,
#Fighter Weapons,,,,,,,
eis_acg,WEAPON,A downscaled Assault Chaingun variant designed to fit extensive firepower in a cheap bomber.,,,,,
eis_deva_f,WEAPON,"A miniaturized rapid-fire flak cannon, the Micro Devastator Cannon was developed from its larger counterpart for the Fourteenth Battlegroup in response to a rebellious faction whose doctrine relied on fighters that charged like hawks with the ferocity of a hailstorm.",,,,,
eis_hammercane,WEAPON,"Adapted to fit the Fourteenth Battlegroup's exacting criteria, these modified Hammer torpedos sport improved damage as well as several light Annihilator rockets to improve torpedo survivability. These alterations come at the cost of reduced launch speed.",,,,,
eis_annihilatorlauncher,WEAPON,Fires Annihilator Rockets with a smaller payload that are faster and better able to apply sustained pressure to enemies.,,,,,
eis_annihilatorpod,WEAPON,Fires a stream of lower-payload Annihilator Rockets that are faster and more adept at applying sustained pressure at the cost of lower damage per rocket over the base model.,,,,,
eis_arbalest,WEAPON,A modified Arbalest Autocannon that trades reduced damage per shot for increased range.,,,,,
eis_piranha_reaper,WEAPON,"""Gee! How come this wing needs two people to man it?""",,,,,
eis_aphelion_swarmer,WEAPON,"A heavily upgraded anti-fighter Swarmer SRM, featuring greatly improved missile speed and firepower as well as autoforge capabilities within the launcher itself.",,,,,
eis_harpoon,WEAPON,"Medium range, high payload guided missile rack, a great finisher versus ships with downed shields.",,,,,
eis_breach,WEAPON,A heavily armoured and fast missile with good guidance and a small specialized anti-armor warhead.,,,,,
eis_heatseeker,WEAPON,Short-range modified version of the Salamander MRM. Homes in on the target's engines and disables them with a powerful EMP burst. A combat-rated autoloader system ensures usefulness in protracted engagements.,,,,,
,,,,,,,
#Weapons,,,,,,,
eis_dualrailgun,WEAPON,"Larger version of the railgun, the twin-linked counterpart retains its effectiveness against shield generators while having the capability for a faster firing rate. Electronic interferences of such capability create slight inaccuracy when used.",,,,,
